id,title,category_path,brand,price,stock,description,image_url,tags,attributes_json,source_platform,source_url,compare_url
phone_001,星曜 X1 5G 全新手机,数码/手机,星曜,1599,120,入门 5G 手机，适合学生和日常使用,https://example.com/images/phone_001.jpg,"性价比,适合学生,续航强","{""存储容量"": ""128GB"", ""运行内存"": ""8GB"", ""处理器"": ""天玑 7050"", ""屏幕尺寸"": ""6.6英寸"", ""刷新率"": ""120Hz"", ""电池容量"": ""5000mAh"", ""快充功率"": ""33W"", ""拍照能力"": ""6400万主摄"", ""系统"": ""Android"", ""保修"": ""官方一年保修""}",模拟导购数据,https://example.com/products/phone_001,https://example.com/compare/phone_001
phone_002,星曜 X2 Pro 全新手机,数码/手机,星曜,2299,90,中端性能手机，兼顾游戏和拍照,https://example.com/images/phone_002.jpg,"性能强,快充,系统流畅","{""存储容量"": ""256GB"", ""运行内存"": ""12GB"", ""处理器"": ""骁龙 7 Gen 3"", ""屏幕尺寸"": ""6.7英寸"", ""刷新率"": ""120Hz"", ""电池容量"": ""5100mAh"", ""快充功率"": ""67W"", ""拍照能力"": ""5000万 OIS 主摄"", ""系统"": ""Android"", ""保修"": ""官方一年保修""}",模拟导购数据,https://example.com/products/phone_002,https://example.com/compare/phone_002
phone_003,青柠 Note 12 全新手机,数码/手机,青柠,1899,110,大电池长续航机型，适合高频使用,https://example.com/images/phone_003.jpg,"续航强,预算内,大屏","{""存储容量"": ""256GB"", ""运行内存"": ""8GB"", ""处理器"": ""天玑 7200"", ""屏幕尺寸"": ""6.8英寸"", ""刷新率"": ""90Hz"", ""电池容量"": ""6000mAh"", ""快充功率"": ""44W"", ""拍照能力"": ""5000万双摄"", ""系统"": ""Android"", ""保修"": ""官方一年保修""}",模拟导购数据,https://example.com/products/phone_003,https://example.com/compare/phone_003
phone_004,墨影 Neo 全新手机,数码/手机,墨影,2799,75,轻薄影像手机，适合日常拍摄和社交分享,https://example.com/images/phone_004.jpg,"拍照好,轻薄,系统流畅","{""存储容量"": ""256GB"", ""运行内存"": ""12GB"", ""处理器"": ""骁龙 7+ Gen 2"", ""屏幕尺寸"": ""6.55英寸"", ""刷新率"": ""120Hz"", ""电池容量"": ""4800mAh"", ""快充功率"": ""80W"", ""拍照能力"": ""5000万 OIS 人像三摄"", ""系统"": ""Android"", ""保修"": ""官方一年保修""}",模拟导购数据,https://example.com/products/phone_004,https://example.com/compare/phone_004
phone_005,云帆 S9 全新手机,数码/手机,云帆,3299,65,均衡旗舰配置，适合游戏和多任务,https://example.com/images/phone_005.jpg,"性能强,快充,续航强","{""存储容量"": ""256GB"", ""运行内存"": ""16GB"", ""处理器"": ""骁龙 8s Gen 3"", ""屏幕尺寸"": ""6.78英寸"", ""刷新率"": ""144Hz"", ""电池容量"": ""5500mAh"", ""快充功率"": ""100W"", ""拍照能力"": ""5000万 OIS 三摄"", ""系统"": ""Android"", ""保修"": ""官方一年保修""}",模拟导购数据,https://example.com/products/phone_005,https://example.com/compare/phone_005
phone_006,白鲸 A8 全新手机,数码/手机,白鲸,3999,55,高端影像手机，适合旅行拍摄,https://example.com/images/phone_006.jpg,"拍照好,性能强,系统流畅","{""存储容量"": ""512GB"", ""运行内存"": ""12GB"", ""处理器"": ""骁龙 8 Gen 2"", ""屏幕尺寸"": ""6.73英寸"", ""刷新率"": ""120Hz"", ""电池容量"": ""5000mAh"", ""快充功率"": ""90W"", ""拍照能力"": ""一英寸大底主摄"", ""系统"": ""Android"", ""保修"": ""官方一年保修""}",模拟导购数据,https://example.com/products/phone_006,https://example.com/compare/phone_006
phone_007,山海 Mate 全新手机,数码/手机,山海,4599,48,商务长续航机型，重视稳定和信号体验,https://example.com/images/phone_007.jpg,"续航强,商务,系统流畅","{""存储容量"": ""512GB"", ""运行内存"": ""12GB"", ""处理器"": ""麒麟 9010"", ""屏幕尺寸"": ""6.82英寸"", ""刷新率"": ""120Hz"", ""电池容量"": ""5200mAh"", ""快充功率"": ""88W"", ""拍照能力"": ""5000万超感知影像"", ""系统"": ""HarmonyOS"", ""保修"": ""官方一年保修""}",模拟导购数据,https://example.com/products/phone_007,https://example.com/compare/phone_007
phone_008,极光 Mini 全新手机,数码/手机,极光,3499,60,小屏轻薄旗舰，适合单手握持,https://example.com/images/phone_008.jpg,"轻薄,系统流畅,拍照好","{""存储容量"": ""256GB"", ""运行内存"": ""8GB"", ""处理器"": ""A17"", ""屏幕尺寸"": ""6.1英寸"", ""刷新率"": ""120Hz"", ""电池容量"": ""4300mAh"", ""快充功率"": ""30W"", ""拍照能力"": ""4800万双摄"", ""系统"": ""iOS"", ""保修"": ""官方一年保修""}",模拟导购数据,https://example.com/products/phone_008,https://example.com/compare/phone_008
phone_009,极光 Pro Max 全新手机,数码/手机,极光,5999,40,大屏旗舰手机，影像和系统体验突出,https://example.com/images/phone_009.jpg,"拍照好,性能强,高端旗舰","{""存储容量"": ""512GB"", ""运行内存"": ""8GB"", ""处理器"": ""A18 Pro"", ""屏幕尺寸"": ""6.7英寸"", ""刷新率"": ""120Hz"", ""电池容量"": ""4700mAh"", ""快充功率"": ""35W"", ""拍照能力"": ""4800万长焦三摄"", ""系统"": ""iOS"", ""保修"": ""官方一年保修""}",模拟导购数据,https://example.com/products/phone_009,https://example.com/compare/phone_009
phone_010,风驰 GT 全新手机,数码/手机,风驰,2599,80,游戏向性能手机，重视散热和高刷体验,https://example.com/images/phone_010.jpg,"性能强,快充,适合游戏","{""存储容量"": ""256GB"", ""运行内存"": ""16GB"", ""处理器"": ""骁龙 8+ Gen 1"", ""屏幕尺寸"": ""6.78英寸"", ""刷新率"": ""144Hz"", ""电池容量"": ""5000mAh"", ""快充功率"": ""120W"", ""拍照能力"": ""6400万主摄"", ""系统"": ""Android"", ""保修"": ""官方一年保修""}",模拟导购数据,https://example.com/products/phone_010,https://example.com/compare/phone_010
