id,title,category_path,brand,price,stock,description,image_url,tags,attributes_json,source_platform,source_url,compare_url
skincare_001,植萃舒缓保湿水,美妆/护肤,植萃研,79,160,基础保湿爽肤水，适合日常补水,https://example.com/images/skincare_001.jpg,"保湿,温和,敏感肌友好","{""肤质"": ""干皮 敏感肌"", ""功效"": ""补水保湿"", ""成分"": ""泛醇 透明质酸"", ""容量"": ""150ml"", ""适用人群"": ""成人"", ""敏感肌可用"": ""是"", ""使用频率"": ""每日早晚"", ""保质期"": ""3年""}",模拟导购数据,https://example.com/products/skincare_001,https://example.com/compare/skincare_001
skincare_002,云柔屏障修护精华,美妆/护肤,云柔,199,95,修护型精华，适合换季维稳,https://example.com/images/skincare_002.jpg,"修护,屏障修护,敏感肌友好","{""肤质"": ""敏感肌 干皮"", ""功效"": ""屏障修护"", ""成分"": ""神经酰胺 角鲨烷"", ""容量"": ""30ml"", ""适用人群"": ""成人"", ""敏感肌可用"": ""是"", ""使用频率"": ""每日一次"", ""保质期"": ""3年""}",模拟导购数据,https://example.com/products/skincare_002,https://example.com/compare/skincare_002
skincare_003,清衡控油凝露,美妆/护肤,清衡,129,130,清爽控油凝露，适合油皮和混油皮,https://example.com/images/skincare_003.jpg,"控油,清爽,保湿","{""肤质"": ""油皮 混油"", ""功效"": ""控油保湿"", ""成分"": ""烟酰胺 锌 PCA"", ""容量"": ""50ml"", ""适用人群"": ""成人"", ""敏感肌可用"": ""否"", ""使用频率"": ""每日早晚"", ""保质期"": ""3年""}",模拟导购数据,https://example.com/products/skincare_003,https://example.com/compare/skincare_003
skincare_004,白屿亮采精华液,美妆/护肤,白屿,269,80,提亮型精华，适合暗沉肌肤护理,https://example.com/images/skincare_004.jpg,"提亮,清爽,温和","{""肤质"": ""混合肌 干皮"", ""功效"": ""提亮肤色"", ""成分"": ""VC 衍生物 烟酰胺"", ""容量"": ""30ml"", ""适用人群"": ""成人"", ""敏感肌可用"": ""否"", ""使用频率"": ""每日晚间"", ""保质期"": ""3年""}",模拟导购数据,https://example.com/products/skincare_004,https://example.com/compare/skincare_004
skincare_005,时光肽紧致面霜,美妆/护肤,时光肽,399,70,滋润型面霜，适合初抗老护理,https://example.com/images/skincare_005.jpg,"抗老,保湿,修护","{""肤质"": ""干皮 混合肌"", ""功效"": ""紧致抗老"", ""成分"": ""多肽 角鲨烷"", ""容量"": ""50g"", ""适用人群"": ""成人"", ""敏感肌可用"": ""否"", ""使用频率"": ""每日晚间"", ""保质期"": ""3年""}",模拟导购数据,https://example.com/products/skincare_005,https://example.com/compare/skincare_005
skincare_006,水感玻尿酸面膜,美妆/护肤,水感,99,180,补水面膜，适合干燥场景急救护理,https://example.com/images/skincare_006.jpg,"保湿,清爽,急救补水","{""肤质"": ""所有肤质"", ""功效"": ""密集补水"", ""成分"": ""透明质酸 海藻糖"", ""容量"": ""25ml*10片"", ""适用人群"": ""成人"", ""敏感肌可用"": ""是"", ""使用频率"": ""每周二到三次"", ""保质期"": ""3年""}",模拟导购数据,https://example.com/products/skincare_006,https://example.com/compare/skincare_006
skincare_007,青柚氨基酸洁面乳,美妆/护肤,青柚,89,150,温和洁面乳，适合日常清洁,https://example.com/images/skincare_007.jpg,"温和,清洁,敏感肌友好","{""肤质"": ""所有肤质 敏感肌"", ""功效"": ""温和清洁"", ""成分"": ""氨基酸表活 甘油"", ""容量"": ""120g"", ""适用人群"": ""成人"", ""敏感肌可用"": ""是"", ""使用频率"": ""每日早晚"", ""保质期"": ""3年""}",模拟导购数据,https://example.com/products/skincare_007,https://example.com/compare/skincare_007
skincare_008,雪松舒润乳液,美妆/护肤,雪松,159,105,轻薄乳液，适合春夏保湿,https://example.com/images/skincare_008.jpg,"保湿,轻薄,温和","{""肤质"": ""混油 油皮"", ""功效"": ""清爽保湿"", ""成分"": ""泛醇 积雪草"", ""容量"": ""100ml"", ""适用人群"": ""成人"", ""敏感肌可用"": ""是"", ""使用频率"": ""每日早晚"", ""保质期"": ""3年""}",模拟导购数据,https://example.com/products/skincare_008,https://example.com/compare/skincare_008
skincare_009,曜石视黄醇晚霜,美妆/护肤,曜石,699,45,进阶抗老晚霜，建议夜间循序使用,https://example.com/images/skincare_009.jpg,"抗老,修护,进阶护理","{""肤质"": ""耐受肌 干皮"", ""功效"": ""抗老修护"", ""成分"": ""视黄醇 多肽"", ""容量"": ""50g"", ""适用人群"": ""成人"", ""敏感肌可用"": ""否"", ""使用频率"": ""每周二到四次"", ""保质期"": ""3年""}",模拟导购数据,https://example.com/products/skincare_009,https://example.com/compare/skincare_009
skincare_010,绿洲积雪草修护霜,美妆/护肤,绿洲,239,88,舒缓修护面霜，适合泛红和干燥状态,https://example.com/images/skincare_010.jpg,"修护,敏感肌友好,屏障修护","{""肤质"": ""敏感肌 干皮"", ""功效"": ""舒缓修护"", ""成分"": ""积雪草 神经酰胺"", ""容量"": ""60g"", ""适用人群"": ""成人"", ""敏感肌可用"": ""是"", ""使用频率"": ""每日早晚"", ""保质期"": ""3年""}",模拟导购数据,https://example.com/products/skincare_010,https://example.com/compare/skincare_010
